Iteration,Tested_Variable,Current_Model_Formula,Bandwidth,AIC,AICc,R2,Status,Error_Msg,Status_Selected
6,Small_urban_distances,count ~ trail_density_400m + elevation_max + closeness_centrality +      degree_centrality + parking_distance + Small_urban_distances,2995,74555.21878,74555.63078,0.318891385,ok,NA,SELECTED
6,toilets_distance,count ~ trail_density_400m + elevation_max + closeness_centrality +      degree_centrality + parking_distance + toilets_distance,467,NA,NA,Inf,unstable_nonfinite_yhat,NA,not_selected
6,eateries_distance,count ~ trail_density_400m + elevation_max + closeness_centrality +      degree_centrality + parking_distance + eateries_distance,467,291543383.6,272689845.5,1.013290285,ok,NA,not_selected
6,distance_to_road,count ~ trail_density_400m + elevation_max + closeness_centrality +      degree_centrality + parking_distance + distance_to_road,2424,74585.06571,74585.63849,0.318308627,ok,NA,not_selected
7,elevation_range,count ~ trail_density_400m + elevation_max + closeness_centrality +      degree_centrality + parking_distance + Small_urban_distances +      elevation_range,3348,74609.77015,74610.19193,0.311272908,ok,NA,not_selected
7,gradient,count ~ trail_density_400m + elevation_max + closeness_centrality +      degree_centrality + parking_distance + Small_urban_distances +      gradient,2995,74538.26699,74538.78346,0.320945425,ok,NA,SELECTED
7,Rural_settlement_distances,count ~ trail_density_400m + elevation_max + closeness_centrality +      degree_centrality + parking_distance + Small_urban_distances +      Rural_settlement_distances,4844,73499558.4,70211196.19,1.018428571,ok,NA,not_selected
7,toilets_distance,count ~ trail_density_400m + elevation_max + closeness_centrality +      degree_centrality + parking_distance + Small_urban_distances +      toilets_distance,3458,74656.09525,74656.4773,0.305495253,ok,NA,not_selected
7,eateries_distance,count ~ trail_density_400m + elevation_max + closeness_centrality +      degree_centrality + parking_distance + Small_urban_distances +      eateries_distance,752,Inf,Inf,Inf,ok,NA,not_selected
7,distance_to_road,count ~ trail_density_400m + elevation_max + closeness_centrality +      degree_centrality + parking_distance + Small_urban_distances +      distance_to_road,3348,74619.63035,74620.04527,0.309978463,ok,NA,not_selected
8,elevation_range,count ~ trail_density_400m + elevation_max + closeness_centrality +      degree_centrality + parking_distance + Small_urban_distances +      gradient + elevation_range,3348,74590.43504,74590.94461,0.313589904,ok,NA,SELECTED
8,Rural_settlement_distances,count ~ trail_density_400m + elevation_max + closeness_centrality +      degree_centrality + parking_distance + Small_urban_distances +      gradient + Rural_settlement_distances,4096,71977088.4,70211168.09,1.034503918,ok,NA,not_selected
8,toilets_distance,count ~ trail_density_400m + elevation_max + closeness_centrality +      degree_centrality + parking_distance + Small_urban_distances +      gradient + toilets_distance,3458,74636.58728,74637.05076,0.307824128,ok,NA,not_selected
8,eateries_distance,count ~ trail_density_400m + elevation_max + closeness_centrality +      degree_centrality + parking_distance + Small_urban_distances +      gradient + eateries_distance,752,1.22343E+11,1.22325E+11,6.958797115,ok,NA,not_selected
8,distance_to_road,count ~ trail_density_400m + elevation_max + closeness_centrality +      degree_centrality + parking_distance + Small_urban_distances +      gradient + distance_to_road,3348,74602.57706,74603.08081,0.312078861,ok,NA,not_selected
